Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
reobrix-33020-F-22,Reobrix F-22,"
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Item : Reobrix 33020</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Number of Pieces : 1837 <br></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensions(L x W x H) : 43*28*10 CM</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Package Type: Carton (w</span>ithout original box)</p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Include instruction book, Miniatur Guns and Weapons included,<br data-mce-fragment=""1""></span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Note: <span style=""color: #ff2a00;"">The Mini Figures are <span style=""text-decoration: underline;"">NOT INCLUDED</span> in this Set !</span></strong></p>
",Reobrix,Toys & Games,,airplane,TRUE,,,,,,,33020,,,,deny,manual,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
reobrix-33021-F-35 B,Reobrix F-35 B,"
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Item : Reobrix 33021</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Number of Pieces : 1600 <br></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensions(L x W x H) : 43*28*10 CM</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Package Type: Carton (w</span>ithout original box)</p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Include instruction book, Miniatur Guns and Weapons included,<br data-mce-fragment=""1""></span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Note: <span style=""color: #ff2a00;"">The Mini Figures are <span style=""text-decoration: underline;"">NOT INCLUDED</span> in this Set !</span></strong></p>
",Reobrix,Toys & Games,,airplane,TRUE,,,,,,,33021,,,,deny,manual,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
reobrix-33022-F-18,Reobrix F-18,"
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Item : Reobrix 33022</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Number of Pieces : 1387 <br></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensions(L x W x H) : 43*28*10 CM</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Package Type: Carton (w</span>ithout original box)</p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Include instruction book, Miniatur Guns and Weapons included,<br data-mce-fragment=""1""></span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Note: <span style=""color: #ff2a00;"">The Mini Figures are <span style=""text-decoration: underline;"">NOT INCLUDED</span> in this Set !</span></strong></p>
",Reobrix,Toys & Games,,airplane,TRUE,,,,,,,33022,,,,deny,manual,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
reobrix-33023-J-15,Reobrix J-15,"
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Item : Reobrix 33023</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Number of Pieces : 1999 <br></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensions(L x W x H) : 43*28*10 CM</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Package Type: Carton (w</span>ithout original box)</p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Include instruction book, Miniatur Guns and Weapons included,<br data-mce-fragment=""1""></span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Note: <span style=""color: #ff2a00;"">The Mini Figures are <span style=""text-decoration: underline;"">NOT INCLUDED</span> in this Set !</span></strong></p>
",Reobrix,Toys & Games,,airplane,TRUE,,,,,,,33023,,,,deny,manual,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
reobrix-33024-MIG-29,Reobrix Mig-29,"
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Item : Reobrix 33024</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Number of Pieces : 1837 <br></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensions(L x W x H) : 43*28*10 CM</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Package Type: Carton (w</span>ithout original box)</p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Include instruction book, Miniatur Guns and Weapons included,<br data-mce-fragment=""1""></span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Note: <span style=""color: #ff2a00;"">The Mini Figures are <span style=""text-decoration: underline;"">NOT INCLUDED</span> in this Set !</span></strong></p>
",Reobrix,Toys & Games,,airplane,TRUE,,,,,,,33024,,,,deny,manual,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
reobrix-33025-J-20,Reobrix J-20,"
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Item : Reobrix 33025</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Number of Pieces : 1911 <br></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensions(L x W x H) : 43*28*10 CM</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Package Type: Carton (w</span>ithout original box)</p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Include instruction book, Miniatur Guns and Weapons included,<br data-mce-fragment=""1""></span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Note: <span style=""color: #ff2a00;"">The Mini Figures are <span style=""text-decoration: underline;"">NOT INCLUDED</span> in this Set !</span></strong></p>
",Reobrix,Toys & Games,,airplane,TRUE,,,,,,,33025,,,,deny,manual,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
reobrix-33026-HH-60J,Reobrix Hh-60J,"
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Item : Reobrix 33026</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Number of Pieces : 1137 <br></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensions(L x W x H) : 43*28*10 CM</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Package Type: Carton (w</span>ithout original box)</p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Include instruction book, Miniatur Guns and Weapons included,<br data-mce-fragment=""1""></span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Note: <span style=""color: #ff2a00;"">The Mini Figures are <span style=""text-decoration: underline;"">NOT INCLUDED</span> in this Set !</span></strong></p>
",Reobrix,Toys & Games,,airplane,TRUE,,,,,,,33026,,,,deny,manual,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
reobrix-33027-F-16,Reobrix F-16,"
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Item : Reobrix 33027</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Number of Pieces : 1427 <br></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensions(L x W x H) : 43*28*10 CM</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Package Type: Carton (w</span>ithout original box)</p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Include instruction book, Miniatur Guns and Weapons included,<br data-mce-fragment=""1""></span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Note: <span style=""color: #ff2a00;"">The Mini Figures are <span style=""text-decoration: underline;"">NOT INCLUDED</span> in this Set !</span></strong></p>
",Reobrix,Toys & Games,,airplane,TRUE,,,,,,,33027,,,,deny,manual,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
reobrix-33028-Little J-15,Reobrix Little J-15,"
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Item : Reobrix 33028</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Number of Pieces : 1066 <br></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensions(L x W x H) : 43*28*10 CM</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Package Type: Carton (w</span>ithout original box)</p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Include instruction book, Miniatur Guns and Weapons included,<br data-mce-fragment=""1""></span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Note: <span style=""color: #ff2a00;"">The Mini Figures are <span style=""text-decoration: underline;"">NOT INCLUDED</span> in this Set !</span></strong></p>
",Reobrix,Toys & Games,,airplane,TRUE,,,,,,,33028,,,,deny,manual,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
reobrix-33029-E2,Reobrix E2,"
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Item : Reobrix 33029</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Number of Pieces : 1144 <br></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensions(L x W x H) : 43*28*10 CM</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Package Type: Carton (w</span>ithout original box)</p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Include instruction book, Miniatur Guns and Weapons included,<br data-mce-fragment=""1""></span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Note: <span style=""color: #ff2a00;"">The Mini Figures are <span style=""text-decoration: underline;"">NOT INCLUDED</span> in this Set !</span></strong></p>
",Reobrix,Toys & Games,,airplane,TRUE,,,,,,,33029,,,,deny,manual,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
